customer_id,customer_name,email,phone,city,state,region,customer_type,registration_date
106,Thomas Miller,michaeljohnson@example.org,001-925-745-7387x5717,West Bradleyville,Alaska,EAST,VIP,2024-07-07
107,Christopher Moore,byrdfrank@example.net,+1-267-536-2266,Vargasfurt,Alabama,NORTH,REGULAR,2023-06-05
108,Rebecca Herrera,joshuapadilla@example.org,(853)371-4785x969,Michaelmouth,South Carolina,EAST,REGULAR,2023-01-25
109,Bruce Torres,invalid_email,(852)886-6929,South Cynthia,Vermont,SOUTH,VIP,2023-01-27
110,Lisa Glenn,tracytaylor@example.com,9728368876,Burnsland,Oregon,SOUTH,VIP,2021-11-10
111,Richard Cunningham,kellyhill@example.net,001-578-881-9148x58078,Lake Mariabury,Maryland,WEST,VIP,2021-11-15
112,Autumn Cain,invalid_email,595.296.2923,Amandaside,Hawaii,NORTH,VIP,2024-05-08
113,Brandy Brady,keith48@example.net,(804)822-3253x67294,Jonesland,Montana,NORTH,PREMIUM,2025-12-25
114,Aaron Schroeder,heather57@example.com,001-617-751-8636x3745,New Melissa,Michigan,SOUTH,PREMIUM,2022-01-04
115,Timothy Moore,garciakristen@example.com,706.432.4241x541,South Conniebury,Nevada,EAST,PREMIUM,2022-05-17
116,Kelly Wallace,smiththomas@example.org,3513627136,West Michaelport,Florida,NORTH,PREMIUM,2024-11-08
117,Alejandra Santos,darlenebyrd@example.org,853.726.9731x121,Edwardsberg,Kansas,SOUTH,VIP,2023-12-15
118,Peggy Vaughn,wrightcarolyn@example.net,+1-543-989-8364x03761,New Pamelatown,Mississippi,WEST,VIP,2024-04-16
119,Michael Farmer,paulcombs@example.com,001-810-891-0430x06848,Millerside,Ohio,SOUTH,REGULAR,2022-11-24
120,Brittney Murphy,christopher18@example.org,001-314-963-0316,West Elizabethburgh,Delaware,SOUTH,PREMIUM,2021-09-15
121,Rachel Le,jacquelinemartin@example.com,(352)641-0564,South Spencerstad,Arkansas,EAST,PREMIUM,2025-11-06
122,Megan Wilson,michaelscott@example.org,001-880-500-3075x6220,Johnmouth,Louisiana,SOUTH,PREMIUM,2022-04-05
123,Vicki Finley,david02@example.org,774-545-1870,Anneport,West Virginia,NORTH,PREMIUM,2023-08-30
124,Kimberly Flynn,frichardson@example.org,(206)803-8505,Daltonhaven,Kansas,WEST,REGULAR,2025-03-03
125,Andrew Hall,jwoodward@example.net,865.471.9182x61990,West Jose,Massachusetts,WEST,PREMIUM,2024-12-09
126,Brandy Carrillo,louis43@example.org,721-527-7561,Parkerview,Delaware,SOUTH,REGULAR,2022-05-14
127,Amanda Huff,lindseytorres@example.net,521-335-6804x42067,Garciaberg,Delaware,SOUTH,PREMIUM,2021-09-13
128,James Parks,greertoni@example.org,+1-319-294-1013x7215,Williamsshire,Nevada,NORTH,PREMIUM,2024-12-16
129,Daniel Lopez,rjohnson@example.com,972-209-9934x768,West Patrickchester,Illinois,WEST,VIP,2026-01-26
130,Rachael Howard DDS,crystalpham@example.org,659.285.6420x5930,Morenoshire,Iowa,EAST,REGULAR,2022-12-15
131,Sylvia Brown,wrightjohn@example.net,796.252.2395,Staceyshire,Georgia,EAST,REGULAR,2026-05-22
132,Casey Johnson,marycochran@example.com,5394308705,Jennifermouth,Arkansas,EAST,REGULAR,2021-10-14
133,Shannon Yu,brendastark@example.org,(469)715-4522x675,Lake Brianna,Idaho,WEST,PREMIUM,2024-10-25
134,Tiffany Fry,jessica42@example.org,(390)529-5939x1725,Toniburgh,South Dakota,EAST,PREMIUM,2022-05-09
135,Hayley Buchanan,sean43@example.org,001-300-967-6267x6586,East Shannon,Arizona,NORTH,PREMIUM,2024-02-09
136,Stephen Martin,floresstephanie@example.org,481-859-9706,North Craig,Indiana,SOUTH,PREMIUM,2023-03-20
137,Mary Evans,uterry@example.net,206-898-7205,West Madisonfort,Illinois,WEST,REGULAR,2022-06-04
138,Brian Glover,clarkdanielle@example.org,674.918.6256x5270,Bakerview,Oregon,SOUTH,PREMIUM,2022-02-14
139,Rhonda Gutierrez,karencontreras@example.org,001-393-880-6868x79374,New Ashleyhaven,Oregon,EAST,VIP,2022-11-08
140,Rhonda Martinez,averyshane@example.org,(716)632-9451x16868,Starktown,Vermont,NORTH,VIP,2026-08-06
141,Lauren Hanna,jrodriguez@example.org,819-914-8564,Johnsonview,Montana,EAST,VIP,2022-10-27
142,Patrick Mccall,vwilliams@example.net,(705)644-4713x247,Jacobsland,Illinois,WEST,VIP,2025-05-10
143,Sharon Nicholson,robinrussell@example.com,521.248.6289x02330,Williamsstad,Virginia,SOUTH,REGULAR,2023-04-17
144,Becky Johnson,micheal78@example.com,(379)672-7985x524,South Brandonshire,Wyoming,WEST,VIP,2023-06-03
145,Kayla Hancock,deborahbyrd@example.com,001-707-922-9034x94466,Jefferyport,Utah,SOUTH,VIP,2026-01-10
146,Dr. Sara Hoffman DDS,asilva@example.net,541-271-5454x4432,Guerreroberg,Washington,WEST,VIP,2021-10-25
147,Norman Aguilar,qbright@example.com,001-435-438-7584,Connorberg,West Virginia,EAST,PREMIUM,2023-10-19
148,Henry Garner,staceylam@example.net,365-954-9471x7099,New David,Utah,EAST,PREMIUM,2024-11-04
149,William Orozco,robert22@example.org,625.521.7525x007,New Kathy,New York,SOUTH,VIP,2022-05-07
150,John Smith,christinaschultz@example.com,+1-535-505-8300,Larryville,Missouri,SOUTH,VIP,2025-11-17
151,Joseph Warren,gary04@example.com,(425)375-3260x33230,Jenniferton,Missouri,EAST,REGULAR,2023-10-10
152,Alicia Norris,wheelerbrandon@example.org,(676)418-4723x04618,Rivasville,North Carolina,SOUTH,VIP,2022-08-07
153,Paula Decker,daniel17@example.org,956.742.0873,North Alexander,Colorado,SOUTH,REGULAR,2022-07-16
154,Nathaniel Conway,fhernandez@example.net,+1-837-344-7012x0455,Port Katherineton,Alabama,SOUTH,PREMIUM,2022-10-10
155,Nicholas Watson,markkline@example.net,421-366-7467x62120,Pruittfort,Oregon,NORTH,PREMIUM,2025-04-29
156,Michael Roberson,cherylmaxwell@example.net,(777)216-7014,Lake Morgan,North Dakota,SOUTH,VIP,2026-01-18
157,Michael Cruz,reynoldsjessica@example.com,+1-390-902-8772,Johnview,Arkansas,WEST,PREMIUM,2025-11-28
158,Jeremy Berry,andreagray@example.org,877-251-7016,Port Christopherport,North Carolina,NORTH,REGULAR,2026-05-20
159,Anthony Walker,diamondbryant@example.com,758.799.7571x130,Amystad,Vermont,SOUTH,REGULAR,2022-07-03
160,Jennifer King,princetravis@example.net,831.263.7351,Port Patriciamouth,Texas,WEST,REGULAR,2025-11-20
161,Timothy Roberson,tamarasmith@example.net,882.592.2169x9586,Raymondmouth,Maine,NORTH,PREMIUM,2025-06-13
162,Sarah Kelley,devonmorrison@example.net,783-933-9452x28851,Craigside,Maine,WEST,VIP,2025-03-11
163,Anthony Adams,millsanthony@example.org,(744)920-4380,New Mirandaside,Iowa,EAST,PREMIUM,2026-05-16
164,Matthew House,yyoung@example.net,(565)580-0439x7359,Shaneland,Idaho,WEST,VIP,2023-01-28
165,Christopher Singleton,bennettroy@example.net,6579202590,Charlesmouth,North Dakota,SOUTH,VIP,2023-06-21
166,Joshua Davis,abigailhartman@example.org,935.255.4398,Lake Michaelbury,Tennessee,WEST,PREMIUM,2023-09-03
167,Joshua Campbell,flemingmanuel@example.org,258.387.7043x58112,Lake Crystal,Indiana,EAST,VIP,2025-03-16
168,Maria Case,harrismaria@example.net,001-520-675-0110x2481,Hughesfurt,Nevada,SOUTH,PREMIUM,2024-04-16
169,Lisa Avila,pricedavid@example.org,001-301-658-1449,Jamestown,New Mexico,EAST,REGULAR,2022-12-05
170,Mark Evans,derekmyers@example.net,001-350-688-2100x9968,Lake Judith,Washington,EAST,VIP,2024-07-10
171,Clinton Jensen,robertbrewer@example.net,631-329-0878x141,Lake Beverly,Michigan,SOUTH,REGULAR,2024-08-20
172,Stephanie Stewart,emilyyoung@example.com,259.749.2995x562,Port Jeffrey,West Virginia,SOUTH,VIP,2025-04-22
173,Ian Torres,mary25@example.com,+1-612-391-4283,North Melissatown,Pennsylvania,WEST,PREMIUM,2026-07-10
174,Kimberly Lutz,nhammond@example.org,725.263.9427x8816,Port Tamara,South Carolina,WEST,PREMIUM,2023-01-04
175,Tracy Fitzgerald,seanwhite@example.net,750.837.3145x3038,Hardinton,Arizona,WEST,PREMIUM,2024-05-09
176,Deborah Stephens,padillaadrienne@example.com,(566)859-1846,Lisastad,New York,NORTH,VIP,2025-09-12
177,Jose Campbell,shawdon@example.org,(322)959-1365,Mendozashire,Hawaii,NORTH,PREMIUM,2025-02-03
178,Mark Williams,sanchezdavid@example.net,001-220-624-2869,East Shanefort,New Mexico,WEST,PREMIUM,2023-01-18
179,Catherine Keller,mariaburke@example.net,225-579-9136x621,Serranoville,Idaho,SOUTH,PREMIUM,2025-08-24
180,Matthew Winters,richamanda@example.org,+1-506-986-5086,Bellshire,Connecticut,WEST,PREMIUM,2025-03-20
181,Shawn Ortiz,jonathancannon@example.org,500.798.1806,Coxberg,Nevada,EAST,VIP,2026-07-30
182,Donald Becker,jose86@example.net,001-736-888-7258x87449,Port Michelle,Delaware,WEST,VIP,2023-07-21
183,James Morgan,klogan@example.org,+1-890-326-0127,West Jeffreyland,Rhode Island,WEST,REGULAR,2021-12-02
184,Donna Stuart,zarias@example.net,2275703843,Lake Barry,Kansas,NORTH,PREMIUM,2021-08-07
185,James Willis,christopherhill@example.com,901.818.4895x54393,West Gregoryhaven,Connecticut,NORTH,REGULAR,2026-05-08
186,Tina Walter,gordonmatthew@example.org,001-947-269-7357,Wilsonland,Missouri,SOUTH,PREMIUM,2023-06-22
187,Alexandra Collier,laurengutierrez@example.com,741.765.1827,New Joseph,West Virginia,EAST,PREMIUM,2023-03-20
188,Derek Perez,pmclaughlin@example.net,295.221.1179,Watsonmouth,New York,WEST,PREMIUM,2026-06-26
189,Kenneth Brown,travis84@example.com,(278)508-5627x18750,Carpentermouth,Mississippi,WEST,PREMIUM,2023-10-22
190,Grace White,amyyoung@example.com,(636)555-6472x92931,Chaseborough,Georgia,WEST,PREMIUM,2022-11-14
191,Dr. Samuel Holmes DDS,lshaffer@example.com,344.989.0612x0347,Jordanstad,Oklahoma,WEST,REGULAR,2026-05-05
192,Tracey Gonzalez,maurice61@example.com,001-382-845-5877,Stevenberg,Hawaii,NORTH,PREMIUM,2024-06-20
193,Andrea Martin,kwelch@example.com,755.944.9647,Jacksontown,Florida,NORTH,VIP,2023-08-05
194,Brendan Zuniga,shelby13@example.org,680.506.8114x9216,Lake Justin,South Dakota,NORTH,REGULAR,2022-09-03
195,Shannon Nguyen,alisonjackson@example.org,878.648.7282x9979,Timothybury,Colorado,NORTH,VIP,2025-05-10
196,Joseph Chang,michael42@example.com,(254)878-0774,Carlatown,Oklahoma,SOUTH,PREMIUM,2024-10-10
197,Miguel Brewer,robertcastro@example.com,(534)316-3894x4846,East Keith,South Dakota,SOUTH,PREMIUM,2025-06-21
198,Alec Williams,nnelson@example.com,+1-502-314-4270,North Tristan,Michigan,EAST,REGULAR,2025-03-04
199,Amanda Miller,kristi75@example.com,001-520-846-1872x34601,Wrightton,Illinois,NORTH,REGULAR,2025-07-08
200,Tyrone Mayer,boydtina@example.com,(708)281-4743,North Joel,Nevada,NORTH,VIP,2024-05-11
201,David Novak,jacksonjoshua@example.org,001-379-725-1327,North Michaelberg,Vermont,EAST,VIP,2026-02-28
202,Nicole Trujillo,martinezjesse@example.net,930.565.2407x784,New Michael,Washington,WEST,PREMIUM,2025-08-01
203,Christopher Phillips,mikayla98@example.org,585-770-8620x959,Lake Tammyfurt,Illinois,SOUTH,REGULAR,2026-01-21
204,Jason Morris,jcannon@example.net,981-502-2031,North Ashleyfurt,Texas,SOUTH,REGULAR,2025-10-07
205,Timothy Clark,brandon39@example.net,317.605.8650x9480,East Susanville,Connecticut,EAST,VIP,2023-07-25
206,Mario White,hlopez@example.net,001-786-419-5761x2286,Mahoneymouth,Oklahoma,NORTH,VIP,2024-05-11
207,Joshua Brooks,robert65@example.net,+1-245-477-6004,Adambury,Indiana,EAST,VIP,2024-04-11
208,Kayla Duncan,ingramsherry@example.com,001-721-507-5224,West Lisa,Colorado,EAST,REGULAR,2026-06-14
209,Frederick Olson,ncarroll@example.net,891.394.0961x0556,Lake Denise,Rhode Island,EAST,REGULAR,2021-09-11
210,Karl Murphy,hbrown@example.org,001-632-806-7998x136,East Matthew,New Mexico,WEST,REGULAR,2026-06-17
211,Patricia Anderson,kelleyjose@example.com,(578)537-6938,West Kimberlymouth,Utah,EAST,VIP,2026-07-01
212,Frank Wheeler,rodriguezrobert@example.com,2425597927,Lake Nathaniel,Wisconsin,WEST,VIP,2022-04-30
213,Sheila Wilkins,singhjohn@example.net,5515477053,Anaberg,Vermont,SOUTH,VIP,2021-10-03
214,Christopher Campbell,qaguilar@example.net,001-694-807-0164x510,South William,Virginia,EAST,VIP,2022-06-12
215,Jonathan Ellis,todd98@example.org,001-700-738-4576x205,Joelhaven,Louisiana,WEST,PREMIUM,2022-02-15
216,Glenn Long,natasha08@example.com,(416)889-3639,Reneemouth,New Hampshire,EAST,PREMIUM,2026-03-18
217,Christina Taylor,jamietaylor@example.net,001-482-762-9251x881,Lake Anthony,Massachusetts,NORTH,PREMIUM,2025-02-13
218,Denise Maxwell,vturner@example.net,522-509-9499,Lake Anthony,Colorado,SOUTH,PREMIUM,2025-08-26
219,Catherine Hughes,waynejacobs@example.net,322.433.0604x6333,Camachofort,Vermont,WEST,PREMIUM,2024-05-12
220,Lisa Holloway,bclay@example.com,001-256-599-9880x8177,Terrellton,Oklahoma,EAST,REGULAR,2024-11-22
221,Donna Jackson,leescott@example.com,490-882-7718x1298,Morristown,Idaho,EAST,PREMIUM,2025-06-16
222,Susan Hogan,nicoledavis@example.com,001-811-817-5186x892,Port Georgemouth,Oregon,EAST,VIP,2022-11-16
223,Eric Cross,invalid_email,942.212.3094x077,Youngshire,Texas,SOUTH,REGULAR,2025-08-23
224,Dana Kelley,fortiz@example.net,+1-683-702-2050x209,North Danielburgh,Hawaii,WEST,PREMIUM,2024-01-07
225,Anna Evans,tammycurry@example.com,(861)568-1472x145,New Brian,Oregon,SOUTH,VIP,2026-02-05
226,Lee Stewart,webbhaley@example.net,699.552.9978x77293,North Andrewville,West Virginia,WEST,PREMIUM,2023-05-13
227,Marcia Smith,vgutierrez@example.com,244.314.4885,Matthewshire,South Carolina,NORTH,PREMIUM,2021-11-05
228,John Johnson,jamesbass@example.net,(672)778-5760,East Barbaramouth,Minnesota,SOUTH,PREMIUM,2022-02-28
229,Sarah Duncan,juanjohnson@example.com,(929)614-5046x1735,New Kevin,Delaware,EAST,PREMIUM,2024-10-12
230,Rebecca Stein,stricklandrobin@example.com,(435)578-4521,South Paulhaven,Delaware,EAST,PREMIUM,2021-08-19
231,Angel Meyer,sarah91@example.com,+1-340-694-3533x44857,East Joshua,Alabama,EAST,PREMIUM,2026-05-11
232,Tony Brock,clarkmichael@example.com,001-232-414-9587,South Rebeccaton,Connecticut,EAST,PREMIUM,2024-11-10
233,Leslie Huff,millerphilip@example.net,001-379-954-5381x792,South Lancemouth,New Mexico,NORTH,VIP,2023-07-27
